book_id_x,book_id_y
3,19820
5,11821
6,24948
7,14655
8,23949
9,16586
10,41271
11,40041
17,24787
18,6990
28,35844
29,9024
30,32478
31,44712
32,44634
33,44080
34,11909
35,5501
37,38121
38,15444
40,4379
43,40538
44,31653
46,4696
47,24244
48,32476
49,7057
50,27040
51,33229
52,12677
53,15108
55,20985
56,37804
57,38648
58,16820
59,42855
63,3635
64,31037
65,2203
67,25183
68,35335
91,9031
92,16479
93,36716
94,12952
95,4704
96,29831
98,23450
100,13200
101,23652
102,5094
103,37194
104,27315
105,13880
106,8247
107,27994
109,1295
110,24113
111,6801
112,16652
114,18909
115,22416
116,39524
118,35892
119,4480
120,40614
121,35039
122,7595
123,19260
125,13314
126,40903
127,36788
128,13719
129,42318
130,29698
131,24882
132,37713
133,2602
134,27151
135,6382
137,11134
138,3517
139,18529
140,14080
141,32249
142,42978
143,42677
144,43141
145,31823
146,14750
147,7361
148,4868
149,31814
151,8891
152,25291
153,13995
156,4375
157,3873
158,6097
159,18407
160,12584
161,11972
162,7878
163,35039
164,10616
167,38898
169,30756
170,43126
171,8581
172,11332
173,5067
174,37407
175,4024
176,26876
178,16911
179,15496
180,41176
181,40596
182,39198
183,4931
187,27345
188,15824
189,32072
190,31794
191,30562
196,30018
197,7112
211,40370
213,26752
214,36841
215,19224
217,5731
218,17023
219,21596
235,16452
236,26859
237,15625
238,36323
240,34635
242,18604
243,23814
244,34665
245,39656
249,2539
252,39059
253,1765
254,33550
255,24802
256,32617
257,26550
258,9662
259,18083
260,7475
261,23031
262,33612
263,15568
264,19956
265,23830
266,23135
267,11103
268,3158
269,34990
270,14951
271,21960
272,24461
274,34980
275,28461
276,4608
277,24841
278,16627
279,40944
281,42661
282,4079
283,40715
284,38076
286,42149
289,41804
290,16123
291,12881
292,30728
293,19859
294,31902
295,293
296,22690
297,14094
298,27817
300,18084
301,32331
302,6741
303,17814
304,27979
305,27084
306,38771
307,17055
309,9801
310,5416
311,43765
312,26280
313,35954
314,10406
316,19730
317,25932
318,40105
319,12733
331,10335
332,25094
336,31924
341,6802
347,32932
351,40569
352,28723
353,126
354,16915
362,42794
363,475
364,29028
366,19742
368,37089
369,35670
370,32753
371,9018
372,16926
373,8017
374,28885
375,24088
380,40200
381,6876
383,18678
384,33650
386,40750
389,8461
392,14914
393,16967
395,6200
398,16249
399,42161
401,14398
402,3892
403,31334
404,34288
405,31784
406,15175
408,24592
409,25735
410,18337
414,21843
415,36524
416,305
417,43155
418,36457
419,23491
420,6638
422,23149
423,5321
424,37079
425,27737
426,38076
428,34125
430,33109
431,34664
433,38703
434,13255
436,34253
437,28426
438,2346
439,612
440,25947
441,40081
442,7124
444,27192
445,11989
447,29658
449,21903
450,4521
453,42131
454,19734
456,30178
469,18927
470,43017
471,34906
472,24126
474,33919
475,14562
481,39806
483,3260
489,43617
491,27525
497,7162
498,25227
500,33175
501,31924
502,1689
503,34614
504,11445
506,24195
508,37826
510,5389
513,4091
514,4672
515,29993
516,42512
517,41032
519,37542
522,17418
523,34345
524,43532
525,22660
526,28600
530,8597
531,28601
532,6181
534,20991
535,2584
538,32951
539,31269
540,24402
543,657
544,40266
551,18022
553,11326
556,42640
559,12691
560,24297
561,10259
562,41242
563,16070
565,1464
566,36168
567,4794
568,29750
569,34587
570,25497
572,7425
574,24689
575,29212
576,43082
577,16358
578,44680
579,34183
580,7277
581,6506
582,13221
587,7597
589,43586
590,36844
598,28378
600,33220
603,816
606,2663
608,9037
609,39081
611,28720
612,16307
613,23795
614,30163
616,32294
617,2632
618,12221
619,7821
620,2585
625,10113
627,33551
628,36277
629,23923
630,14951
632,19259
633,41167
634,37186
635,21154
636,26875
637,2879
638,5896
639,8923
640,2984
641,26445
643,24713
644,34357
645,40688
646,22518
647,31142
648,4361
649,2072
651,10509
652,9930
653,42100
654,23975
655,13683
656,16682
657,43800
658,32445
660,32789
664,20229
665,7036
666,38698
668,363
669,34231
671,10752
672,8502
673,33038
674,31534
675,21754
676,36629
678,38212
679,38533
680,42948
681,10383
682,13605
683,10234
685,14781
686,25297
687,28569
688,18791
689,34337
690,13365
691,20861
692,32638
694,2633
695,24846
696,24192
699,44517
700,3899
701,33945
704,33358
705,26960
708,19122
709,38132
710,19521
711,12921
713,44228
714,26512
715,36317
718,43992
720,30062
721,7864
722,31062
723,27098
727,37487
728,39666
730,22227
731,10298
732,3071
735,11047
739,6286
743,13138
744,17892
745,237
746,6320
748,40124
749,33028
750,30594
751,1021
752,20036
753,6219
755,17594
756,14491
